,station_id,station_name,station_latitude,station_longitude,label
366,63,Bryant St at 6th St,37.7759102223,-122.4025750067,2
367,64,5th St at Brannan St,37.776753899999996,-122.3990176,2
368,66,3rd St at Townsend St,37.7787416115,-122.39274082709998,2
369,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.77663920000001,-122.3955263,2
370,7,Frank H Ogawa Plaza,37.8045623549,-122.2717380524,0
371,70,Central Ave at Fell St,37.7733108789,-122.4442926049,2
372,71,Broderick St at Oak St,37.773062700000004,-122.4390777,2
373,72,Page St at Scott St,37.772406,-122.4356498,2
374,73,Pierce St at Haight St,37.7717933,-122.43370790000002,2
375,74,Laguna St at Hayes St,37.7764348192,-122.4262440205,2
376,75,Market St at Franklin St,37.7737932061,-122.4212390184,2
377,76,McCoppin St at Valencia St,37.7716624622,-122.42242321370001,2
378,77,11th St at Natoma St,37.773506899999994,-122.4160402,2
379,78,Folsom St at 9th St,37.7737172,-122.41164669999999,2
380,79,7th St at Brannan St,37.773491899999996,-122.40367250000001,2
381,8,The Embarcadero at Vallejo St,37.799953,-122.398525,2
382,80,Townsend St at 5th St,37.7752348686,-122.3974370956,2
383,80,Townsend St at 5th St,37.7753058,-122.39738,2
384,81,Berry St at 4th St,37.77588,-122.39317,2
385,84,Duboce Park,37.769200500000004,-122.4338119,2
386,85,Church St at Duboce Ave,37.7700831,-122.42915570000001,2
387,86,Market St at Dolores St,37.76930529999999,-122.4268256,2
388,87,Folsom St at 13th St,37.769757,-122.415674,2
389,88,11th St at Bryant St,37.770029799999996,-122.41172579999999,2
390,89,Division St at Potrero Ave,37.7692178615,-122.4076455832,2
391,9,Broadway at Battery St,37.7985721085,-122.4008689821,2
392,90,Townsend St at 7th St,37.771058000000004,-122.402717,2
393,91,Berry St at King St,37.7717621103,-122.3984375596,2
394,92,Mission Bay Kids Park,37.7723006317,-122.39302754399999,2
395,93,4th St at Mission Bay Blvd S,37.770407399999996,-122.39119840000002,2
396,95,Sanchez St at 15th St,37.7662185,-122.4310597,2
397,96,Dolores St at 15th St,37.7662102,-122.4266136,2
398,97,14th St at Mission St,37.7682646,-122.4201102,2
399,98,Valencia St at 16th St,37.765052000000004,-122.42186609999999,2
400,99,Folsom St at 15th St,37.7670373,-122.41544250000001,2
